event,team_a,team_h,kickoff_time
18,Crystal Palace,Arsenal,2021-01-12T19:45:00Z
18,Tottenham,Aston Villa,2021-01-12T19:45:00Z
18,Manchester Utd,Fulham,2021-01-12T19:45:00Z
18,Southampton,Leeds Utd,2021-01-12T19:45:00Z
18,Chelsea,Leicester City,2021-01-12T19:45:00Z
18,Newcastle utd,Sheffield Utd,2021-01-12T19:45:00Z
18,West Brom,West Ham Utd,2021-01-12T19:45:00Z
18,Everton,Wolverhampton,2021-01-12T19:45:00Z
18,Burnley,Liverpool,2021-01-13T20:00:00Z
18,Brighton,Manchester City,2021-01-13T20:00:00Z
19,Newcastle utd,Arsenal,2021-01-16T15:00:00Z
19,Everton,Aston Villa,2021-01-16T15:00:00Z
19,Chelsea,Fulham,2021-01-16T15:00:00Z
19,Brighton,Leeds Utd,2021-01-16T15:00:00Z
19,Southampton,Leicester City,2021-01-16T15:00:00Z
19,Manchester Utd,Liverpool,2021-01-16T15:00:00Z
19,Crystal Palace,Manchester City,2021-01-16T15:00:00Z
19,Tottenham,Sheffield Utd,2021-01-16T15:00:00Z
19,Burnley,West Ham Utd,2021-01-16T15:00:00Z
19,West Brom,Wolverhampton,2021-01-16T15:00:00Z
20,Fulham,Brighton,2021-01-26T19:45:00Z
20,Aston Villa,Burnley,2021-01-26T19:45:00Z
20,Leicester City,Everton,2021-01-26T19:45:00Z
20,Sheffield Utd,Manchester Utd,2021-01-26T20:00:00Z
20,Manchester City,West Brom,2021-01-26T20:00:00Z
20,Wolverhampton,Chelsea,2021-01-27T19:45:00Z
20,Leeds Utd,Newcastle utd,2021-01-27T19:45:00Z
20,Arsenal,Southampton,2021-01-27T19:45:00Z
20,Liverpool,Tottenham,2021-01-27T19:45:00Z
20,West Ham Utd,Crystal Palace,2021-01-27T20:00:00Z
21,Manchester Utd,Arsenal,2021-01-30T15:00:00Z
21,Tottenham,Brighton,2021-01-30T15:00:00Z
21,Burnley,Chelsea,2021-01-30T15:00:00Z
21,Wolverhampton,Crystal Palace,2021-01-30T15:00:00Z
21,Newcastle utd,Everton,2021-01-30T15:00:00Z
21,Leeds Utd,Leicester City,2021-01-30T15:00:00Z
21,Sheffield Utd,Manchester City,2021-01-30T15:00:00Z
21,Aston Villa,Southampton,2021-01-30T15:00:00Z
21,Fulham,West Brom,2021-01-30T15:00:00Z
21,Liverpool,West Ham Utd,2021-01-30T15:00:00Z
22,West Ham Utd,Aston Villa,2021-02-02T19:45:00Z
22,Manchester City,Burnley,2021-02-02T19:45:00Z
22,Leicester City,Fulham,2021-02-02T19:45:00Z
22,Everton,Leeds Utd,2021-02-02T19:45:00Z
22,West Brom,Sheffield Utd,2021-02-02T19:45:00Z
22,Arsenal,Wolverhampton,2021-02-02T19:45:00Z
22,Southampton,Manchester Utd,2021-02-02T20:00:00Z
22,Crystal Palace,Newcastle utd,2021-02-03T19:45:00Z
22,Chelsea,Tottenham,2021-02-03T19:45:00Z
22,Brighton,Liverpool,2021-02-03T20:00:00Z
23,Arsenal,Aston Villa,2021-02-06T15:00:00Z
23,Brighton,Burnley,2021-02-06T15:00:00Z
23,West Ham Utd,Fulham,2021-02-06T15:00:00Z
23,Crystal Palace,Leeds Utd,2021-02-06T15:00:00Z
23,Manchester City,Liverpool,2021-02-06T15:00:00Z
23,Everton,Manchester Utd,2021-02-06T15:00:00Z
23,Southampton,Newcastle utd,2021-02-06T15:00:00Z
23,Chelsea,Sheffield Utd,2021-02-06T15:00:00Z
23,West Brom,Tottenham,2021-02-06T15:00:00Z
23,Leicester City,Wolverhampton,2021-02-06T15:00:00Z
24,Leeds Utd,Arsenal,2021-02-13T15:00:00Z
24,Aston Villa,Brighton,2021-02-13T15:00:00Z
24,Newcastle utd,Chelsea,2021-02-13T15:00:00Z
24,Burnley,Crystal Palace,2021-02-13T15:00:00Z
24,Fulham,Everton,2021-02-13T15:00:00Z
24,Liverpool,Leicester City,2021-02-13T15:00:00Z
24,Tottenham,Manchester City,2021-02-13T15:00:00Z
24,Wolverhampton,Southampton,2021-02-13T15:00:00Z
24,Manchester Utd,West Brom,2021-02-13T15:00:00Z
24,Sheffield Utd,West Ham Utd,2021-02-13T15:00:00Z
25,Manchester City,Arsenal,2021-02-20T15:00:00Z
25,Leicester City,Aston Villa,2021-02-20T15:00:00Z
25,Crystal Palace,Brighton,2021-02-20T15:00:00Z
25,West Brom,Burnley,2021-02-20T15:00:00Z
25,Sheffield Utd,Fulham,2021-02-20T15:00:00Z
25,Everton,Liverpool,2021-02-20T15:00:00Z
25,Newcastle utd,Manchester Utd,2021-02-20T15:00:00Z
25,Chelsea,Southampton,2021-02-20T15:00:00Z
25,Tottenham,West Ham Utd,2021-02-20T15:00:00Z
25,Leeds Utd,Wolverhampton,2021-02-20T15:00:00Z
26,Manchester Utd,Chelsea,2021-02-27T15:00:00Z
26,Fulham,Crystal Palace,2021-02-27T15:00:00Z
26,Southampton,Everton,2021-02-27T15:00:00Z
26,Aston Villa,Leeds Utd,2021-02-27T15:00:00Z
26,Arsenal,Leicester City,2021-02-27T15:00:00Z
26,West Ham Utd,Manchester City,2021-02-27T15:00:00Z
26,Wolverhampton,Newcastle utd,2021-02-27T15:00:00Z
26,Liverpool,Sheffield Utd,2021-02-27T15:00:00Z
26,Burnley,Tottenham,2021-02-27T15:00:00Z
26,Brighton,West Brom,2021-02-27T15:00:00Z
27,Wolverhampton,Aston Villa,2021-03-06T15:00:00Z
27,Leicester City,Brighton,2021-03-06T15:00:00Z
27,Arsenal,Burnley,2021-03-06T15:00:00Z
27,Everton,Chelsea,2021-03-06T15:00:00Z
27,Fulham,Liverpool,2021-03-06T15:00:00Z
27,Manchester Utd,Manchester City,2021-03-06T15:00:00Z
27,Southampton,Sheffield Utd,2021-03-06T15:00:00Z
